,company,website,locations,sales_data,restricted,authwall,data_error1,data_error2,scraper_error,select_section_error,linkedin_url
14,"A10 Networks, Inc.",https://www.a10networks.com/,{'US': ['San Jose']},"{'country': ['United States', 'San Francisco Bay Area', 'China', 'United Kingdom', 'Japan', 'India', 'Shenyang, Liaoning, China', 'Within 23 wards, Tokyo, Japan', 'Greater New York City Area', 'Shanghai City, China', 'Guangzhou, Guangdong, China', 'Germany', 'Taiwan', 'Canada', 'Beijing City, China'], 'sales_count': ['76', '33', '23', '11', '11', '7', '5', '5', '5', '4', '4', '4', '4', '3', '3']}",False,False,,,,,https://www.linkedin.com/company/a10networks/about/
15,AAA Technologies Limited,http://www.aaatechnologies.co.in,{'IN': ['Mumbai']},"{'country': ['Pakistan'], 'sales_count': ['3']}",False,False,,,,,https://www.linkedin.com/company/aaa-technologies-pvt-ltd-/about/
16,aamra technologies limited,https://www.aamratechnologies.com/,"{'BD': ['Dhaka', 'Dhaka', 'Dhaka', 'Dhaka']}","{'country': ['Bangladesh'], 'sales_count': ['19']}",False,False,,,,,https://www.linkedin.com/company/aamracompanies/about/
17,Aarti Drugs Limited,https://www.aartidrugs.co.in/,{'IN': ['Mumbai']},"{'country': ['India', 'Mumbai Area, India', 'Nandurbar Area, India', 'Chennai Area, India'], 'sales_count': ['18', '12', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/aarti-drugs-limited/about/
18,abc Multiactive Limited,https://www.abcmultiactive.com/,{'HK': ['Hong Kong']},"{'country': ['Hong Kong'], 'sales_count': ['2']}",False,False,,,,,https://www.linkedin.com/company/abc-multiactive-hk-limited/about/
19,AbCellera Biologics Inc.,https://www.abcellera.com/,{'CA': ['Vancouver']},,False,False,,,,,https://www.linkedin.com/company/abcellera/about/
20,ABM Knowledgeware Limited,http://www.abmindia.com,{'IN': ['Mumbai']},"{'country': ['India', 'Mumbai Area, India', 'Nagpur Area, India', 'Democratic Republic of the Congo', 'New Delhi Area, India', 'Jamshedpur Area, India', 'Jalgaon Area, India', 'Bhopal Area, India'], 'sales_count': ['17', '8', '2', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/abm-knowledgeware-ltd/about/
21,Absci Corporation,https://www.absci.com/,{'US': ['Vancouver']},,False,False,,,,,https://www.linkedin.com/company/absci/about/
22,Absolute Software Corporation,https://www.absolute.com/,"{'CA': ['Vancouver'], 'US': ['Austin'], 'GB': ['Reading'], 'VN': ['Ho Chi Minh City']}","{'country': ['United States', 'Canada', 'Vancouver, Canada Area', 'Austin, Texas Area', 'United Kingdom', 'Greater New York City Area', 'Reading, United Kingdom', 'Raleigh-Durham, North Carolina Area', 'Greater Boston Area', 'Toronto, Canada Area', 'Colombia', 'Greater Chicago Area', 'Greater Atlanta Area', 'Phoenix, Arizona Area', 'Greater Seattle Area'], 'sales_count': ['84', '45', '34', '29', '12', '6', '5', '5', '4', '3', '3', '3', '3', '3', '3']}",False,False,,,,,https://www.linkedin.com/company/absolute-software/about/
23,Accelerated Technologies Holding Corp.,https://athc.com/,{'US': ['New York']},,False,False,,,,,https://www.linkedin.com/company/accelerated-technologies-holding-corp/about/
24,Acceleware Ltd.,https://www.acceleware.com/,{'CA': ['Calgary']},"{'country': ['Canada', 'Calgary, Canada Area'], 'sales_count': ['2', '1']}",False,False,,,,,https://www.linkedin.com/company/acceleware/about/
25,Accelya Solutions India Limited,https://w3.accelya.com/,"{'ES': ['Barcelona', 'Madrid'], 'IN': ['Mumbai'], 'GB': ['Camberley, Surrey'], 'AE': ['Dubai'], 'TN': ['Tunis'], 'MX': ['México '], 'UY': ['Montevideo, '], 'SG': ['Singapore'], 'PH': ['Cebu'], 'US': ['Miami']}","{'country': ['India', 'Mumbai Area, India', 'United Arab Emirates', 'United Kingdom', 'Spain', 'United States', 'Madrid Area, Spain', 'Guildford, United Kingdom', 'Miami/Fort Lauderdale Area', 'South Africa', 'Barcelona Area, Spain', 'Canada', 'France', 'Paris Area, France', 'Mexico'], 'sales_count': ['32', '22', '14', '12', '11', '8', '5', '5', '5', '5', '4', '3', '3', '3', '3']}",False,False,,,,,https://www.linkedin.com/company/accelya/about/
26,Accenture plc,https://www.accenture.com/us-en,"{'IE': ['Dublin 2', 'Dublin'], 'US': ['San Francisco', 'Washington', 'Austin', 'Austin', 'Irving', 'Houston', 'San Antonio', 'San Antonio', 'San Jose', 'San Francisco', 'Bentonville', 'Phoenix', 'Washington', 'Albany', 'New York', 'New York', 'Irvine', 'Los Angeles', 'Rancho Cordova', 'Sacramento', 'San Diego', 'Denver', 'Hartford', 'Miami', 'Orlando', 'Tallahassee', 'St. Petersburg', 'Atlanta', 'Atlanta', 'Oklahoma City', 'Beaverton', 'Boise', 'Florham Park'], 'FI': ['Helsinki', 'Helsinki', 'Tampere'], 'MY': ['Kuala Lumpur', 'Kuala Lumpur', 'Kuala Lumpur', 'Kuala Lumpur', 'Petaling Jaya', 'Kuching', 'Selangor', 'Selangor', 'Petaling Jaya'], 'PL': ['Warsaw', 'Katowice', 'Krakow', 'Lodz', 'Warszawa', 'Warszawa', 'Wrocław'], 'NO': ['Fornebu', 'Bergen', 'Stavanger'], 'BR': ['Sao Paulo', 'Recife', 'Barueri'], 'IN': ['Mumbai', 'Mumbai'], 'PH': ['Muntinlupa', 'Cebu City', 'Cebu City', 'Cebu City', 'Cebu City', 'San Nicolas', 'Mandaluyong', 'Taguig', 'Quezon City'], 'AT': ['Vienna'], 'AR': ['La Plata', 'Buenos Aires', 'Buenos Aires', 'Buenos Aires', 'Rosario'], 'FR': ['Toulouse', 'Sophia Antipolis'], 'ID': ['Jakarta'], 'CA': ['Calgary', 'Edmonton', 'Fredericton'], 'SG': ['Singapore', 'Singapore'], 'RO': ['Brasov'], 'GB': ['Edinburgh', 'London', 'Manchester'], 'GR': ['Athens'], 'TR': ['Istanbul'], 'AU': ['Brisbane', 'Kingston', 'Melbourne', 'Perth', 'Barangaroo'], 'SA': ['Al Khobar'], 'BE': ['Brussels'], 'HK': ['Quarry Bay, Hong Kong'], 'HU': ['Budapest']}","{'country': ['India', 'United States', 'Bengaluru Area, India', 'Ireland', 'Philippines', 'Brazil', 'United Kingdom', 'Italy', 'Argentina', 'Germany', 'Mumbai Area, India', 'France', 'Spain', 'Greater Atlanta Area', 'São Paulo Area, Brazil'], 'sales_count': ['4,111', '2,678', '676', '585', '559', '549', '523', '376', '353', '339', '314', '297', '284', '282', '260']}",False,False,,,,,https://www.linkedin.com/company/accenture/about/
