,company,website,locations,sales_data,restricted,authwall,data_error1,data_error2,scraper_error,select_section_error,linkedin_url
54,Adyen N.V.,https://www.adyen.com/,"{'NL': ['Amsterdam', 'Amsterdam'], 'US': ['San Francisco', 'New York City'], 'SG': ['Singapore'], 'BR': ['São Paulo'], 'GB': ['London', 'Manchester'], 'DE': ['Berlin'], 'AU': ['Sydney', 'Melbourne'], 'ES': ['Madrid'], 'SE': ['Stockholm'], 'BE': ['Brussels'], 'IT': ['Milan'], 'FR': ['Paris'], 'CA': ['Toronto'], 'MX': ['Mexico City'], 'CN': ['Hong Kong', 'Shanghai'], 'JP': ['Tokyo']}","{'country': ['Netherlands', 'Amsterdam Area, Netherlands', 'United States', 'United Kingdom', 'San Francisco Bay Area', 'London, United Kingdom', 'Germany', 'France', 'Greater New York City Area', 'Berlin Area, Germany', 'Brazil', 'Paris Area, France', 'São Paulo Area, Brazil', 'Spain', 'Sweden'], 'sales_count': ['123', '103', '94', '54', '51', '36', '33', '30', '27', '24', '22', '22', '20', '20', '20']}",False,False,,,,,https://www.linkedin.com/company/adyen/about/
55,"Affinity Networks, Inc.",https://theanigroup.com/,{},,False,False,1.0,1.0,,,https://www.linkedin.com/company/affinity-networks-inc-/about/
56,"Affirm Holdings, Inc.",https://www.affirm.com/,"{'US': ['San Francisco', 'New York', 'Pittsburgh']}","{'country': ['United States', 'San Francisco Bay Area', 'Canada', 'Toronto, Canada Area', 'Greater Chicago Area', 'Greater New York City Area', 'Greater Seattle Area', 'Greater Denver Area', 'Greater Los Angeles Area', 'Portland, Oregon Area', 'Washington D.C. Metro Area', 'Greater Atlanta Area', 'Greater Pittsburgh Area', 'Greater San Diego Area', 'Spain'], 'sales_count': ['171', '63', '43', '23', '23', '16', '6', '5', '4', '4', '4', '3', '3', '3', '2']}",False,False,,,,,https://www.linkedin.com/company/affirm/about/
57,Affordable Robotic & Automation Limited,https://arapl.co.in/,{'IN': ['Pune']},"{'country': ['India'], 'sales_count': ['2']}",False,False,,,,,https://www.linkedin.com/company/araplindia/about/
58,Afterpay Limited,https://www.afterpay.com/en-US,"{'AU': ['Melbourne', 'Surry Hills'], 'US': ['San Francisco', 'New York'], 'GB': ['London', 'Manchester'], 'NZ': ['Auckland'], 'CN': ['Shanghai']}","{'country': ['Australia', 'United States', 'Sydney, Australia', 'Melbourne, Australia', 'San Francisco Bay Area', 'Greater New York City Area', 'Austin, Texas Area', 'Canada', 'Greater Los Angeles Area', 'New Zealand', 'Auckland, New Zealand', 'Greater San Diego Area', 'Greater Seattle Area', 'Toronto, Canada Area', 'Vancouver, Canada Area'], 'sales_count': ['96', '91', '51', '40', '40', '19', '6', '5', '4', '3', '3', '3', '3', '2', '2']}",False,False,,,,,https://www.linkedin.com/company/afterpay-com-au/about/
59,Agfa-Gevaert NV,https://www.agfa.com/corporate/,"{'BE': ['Mortsel, Belgium']}","{'country': ['United States', 'Belgium', 'Antwerp Area, Belgium', 'United Kingdom', 'France', 'Germany', 'Greater New York City Area', 'Brazil', 'Poland', 'India', 'Italy', 'China', 'Spain', 'Paris Area, France', 'Greater Boston Area'], 'sales_count': ['103', '70', '50', '35', '26', '20', '18', '15', '14', '13', '13', '12', '12', '11', '10']}",False,False,,,,,https://www.linkedin.com/company/agfa/about/
60,"Agile Content, S.A.",https://www.agilecontent.com/tv/,"{'ES': ['48009', 'Barcelona', 'Madrid'], 'AR': ['Ciudad Autónoma de Buenos Aires'], 'BR': ['São Paulo', 'São José do Rio Preto'], 'SE': ['Estocolmo'], 'HK': ['hong kong'], 'US': ['Naperville'], 'MX': ['Mexico city']}","{'country': ['Spain', 'Madrid Area, Spain', 'Brazil', 'China', 'Barcelona Area, Spain', 'Sweden', 'Stockholm County, Sweden', 'Argentina', 'Bosnia and Herzegovina', 'Belgium', 'Namur Area, Belgium', 'Rio de Janeiro Area, Brazil', 'Campinas Area, Brazil', 'Cote D’Ivoire (Ivory Coast)', 'Murcia Area, Spain'], 'sales_count': ['9', '4', '2', '2', '2', '2', '2', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/agilecontent/about/
61,"Agilent Technologies, Inc.",https://www.agilent.com/,"{'US': ['Santa Clara', nan], 'DK': ['Ejby'], 'IN': ['Hyderabad'], 'SG': ['Singapore'], 'ES': ['Las Rozas de Madrid'], 'FR': ['Les Ulis']}","{'country': ['United States', 'India', 'China', 'Germany', 'United Kingdom', 'France', 'San Francisco Bay Area', 'Greater Philadelphia Area', 'Spain', 'Italy', 'Brazil', 'Singapore', 'Malaysia', 'Australia', 'Turkey'], 'sales_count': ['991', '561', '261', '175', '149', '144', '138', '129', '122', '112', '82', '77', '76', '70', '63']}",False,False,,,,,https://www.linkedin.com/company/agilent-technologies/about/
62,"AgileThought, Inc.",https://agilethought.com/,"{'US': ['Irving', 'Tampa', 'Orlando', 'Atlanta'], 'MX': ['Deleg. Cuajimalpa, CDMX'], 'AR': ['Ciudad de Buenos Aires'], 'BR': ['15° andar Vila Cordeiro'], 'CR': ['Escazú, San José']}","{'country': ['Mexico', 'United States', 'Mexico City Area, Mexico', 'Brazil', 'Naucalpan de Juárez Area, Mexico', 'São Paulo Area, Brazil', 'Costa Rica', 'Tampa/St. Petersburg, Florida Area', 'Canada', 'Querétaro Area, Mexico', 'Cincinnati, Ohio Area', 'Gainesville, Florida Area', 'Greater Atlanta Area', 'Sarasota, Florida Area', 'Savannah, Georgia Area'], 'sales_count': ['9', '7', '4', '3', '3', '2', '2', '2', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/agilethought/about/
63,Agillic A/S,https://agillic.com/,{'DK': ['Copenhagen K']},"{'country': ['Denmark', 'Copenhagen Area, Capital Region, Denmark', 'Germany', 'Norway', 'Oslo Area, Norway', 'Sweden', 'Malmo, Sweden'], 'sales_count': ['11', '11', '2', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/agillic/about/
64,"Agilysys, Inc.",https://www.agilysys.com/en/,"{'US': ['Alpharetta', 'Las Vegas', 'Santa Barbara', 'Bellevue'], 'GB': ['Windsor'], 'HK': ['North Point'], 'IN': ['Ramanujan IT City'], 'MY': ['Kuala Lumpur'], 'PH': ['Ortigas Center, Pasig City'], 'SG': ['Singapore']}","{'country': ['United States', 'Las Vegas, Nevada Area', 'Cleveland/Akron, Ohio Area', 'Greater Atlanta Area', 'Greater New York City Area', 'Dallas/Fort Worth Area', 'United Kingdom', 'Canada', 'Greater Chicago Area', 'Greater Denver Area', 'Greater Los Angeles Area', 'Greater Boston Area', 'Miami/Fort Lauderdale Area', 'Greater Philadelphia Area', 'Ottawa, Canada Area'], 'sales_count': ['211', '26', '23', '23', '20', '10', '9', '8', '7', '7', '7', '7', '6', '6', '5']}",False,False,,,,,https://www.linkedin.com/company/agilysys/about/
65,"Agora, Inc.",https://www.agora.io/en/,"{'US': ['Santa Clara', 'Shanghai']}","{'country': ['United States', 'China', 'San Francisco Bay Area', 'Shanghai City, China', 'United Kingdom', 'London, United Kingdom', 'Greater Chicago Area', 'Bangladesh', 'Beijing City, China', 'India', 'France', 'Malawi', 'Peru', 'Greater New York City Area', 'Greater San Diego Area'], 'sales_count': ['32', '20', '14', '8', '6', '5', '4', '3', '3', '3', '2', '2', '2', '2', '2']}",False,False,,,,,https://www.linkedin.com/company/agora-lab-inc/about/
66,AGTech Holdings Limited,https://www.agtech.com/,{'HK': [nan]},"{'country': ['China', 'Beijing City, China'], 'sales_count': ['1', '1']}",False,False,,,,,https://www.linkedin.com/company/agtech-holdings-limited/about/
67,"AhnLab, Inc.",https://global.ahnlab.com/site/main.do,{'KR': ['Seongnam-si']},"{'country': ['Korea'], 'sales_count': ['15']}",False,False,,,,,https://www.linkedin.com/company/ahnlab-inc./about/
68,AI inside Inc.,https://inside.ai/en/,{'JP': ['渋谷区渋谷３－８－１２']},"{'country': ['Japan', 'Within 23 wards, Tokyo, Japan'], 'sales_count': ['8', '1']}",False,False,,,,,https://www.linkedin.com/company/aiinside/about/
69,Ailleron S.A.,https://ailleron.com/pl/,"{'PL': ['Kraków', 'Warsaw'], 'US': ['Dallas', 'Boston']}","{'country': ['Poland', 'Cracow, Lesser Poland District, Poland', 'Warsaw, Masovian District, Poland', 'Bielsko-Biala, Silesian District, Poland', 'Canada', 'Toronto, Canada Area', 'Masovian District, Warsaw West County, Poland', 'Lesser Poland District, Cracow County, Poland', 'Singapore'], 'sales_count': ['20', '12', '4', '2', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/ailleron/about/
70,Aino Health AB,https://ainohealth.com/,"{'SE': ['Stockholm'], 'FI': ['Helsinki'], 'DE': ['Hamburg']}","{'country': ['Sweden', 'Stockholm, Sweden', 'Finland', 'Helsinki Area, Finland', 'Malaysia', 'Stockholm County, Sweden', 'Eskilstuna, Sweden', 'Senegal', 'Tunisia'], 'sales_count': ['4', '2', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/ainoproductivity/about/
71,Airan Limited,https://airanlimited.com/,"{'IN': ['Ahmedabad'], 'AU': ['Blacktown'], 'AE': ['Dubai '], 'GB': ['London'], 'SG': ['Singapore']}","{'country': ['India', 'Valsad Area, India', 'Ahmedabad Area, India', 'United Arab Emirates', 'Nagpur Area, India', 'Junagadh Area, India', 'Jamnagar Area, India'], 'sales_count': ['10', '2', '2', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/airan-limited/about/
72,AirIQ Inc.,https://airiq.com/,{'CA': ['Pickering']},"{'country': ['Canada', 'Toronto, Canada Area', 'United States', 'Ontario, Canada', 'Orange County, California Area', 'Vancouver, Canada Area', 'Greater Chicago Area'], 'sales_count': ['8', '5', '3', '2', '2', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/airiq/about/
73,Aisino Corporation,http://www.aisino.com/,{},"{'country': ['China', 'Beijing City, China', 'Rest of Henan, China', 'Rest of Gansu, China', 'Shanghai City, China', 'Nanjing, Jiangsu, China', 'Nantong, Jiangsu, China', 'Chongqing City, China', 'Shenzhen, Guangdong, China', 'Suzhou, Jiangsu, China', 'Xuzhou, Jiangsu, China', 'Guiyang, Guizhou, China', 'Zhengzhou, Henan, China', 'Luoyang, Henan, China', 'Jinan, Shandong, China'], 'sales_count': ['119', '51', '5', '4', '3', '3', '3', '2', '2', '2', '2', '2', '2', '2', '2']}",False,False,1.0,1.0,,,https://www.linkedin.com/company/aisino-corporation/about/
74,"Akamai Technologies, Inc.",http://www.akamai.com,"{'US': ['Cambridge', 'San Mateo', 'New York', 'Fort Lauderdale'], 'CH': ['Zurich'], 'GB': ['Staines'], 'FR': ['Paris'], 'SG': ['Singapore'], 'IN': ['Bengaluru'], 'IL': ['Herzliya']}","{'country': ['United States', 'India', 'Greater Boston Area', 'Bengaluru Area, India', 'United Kingdom', 'Japan', 'Greater Atlanta Area', 'Germany', 'San Francisco Bay Area', 'Greater New York City Area', 'Poland', 'China', 'Washington D.C. Metro Area', 'France', 'Within 23 wards, Tokyo, Japan'], 'sales_count': ['284', '78', '73', '54', '47', '47', '33', '32', '32', '27', '25', '24', '22', '19', '19']}",False,False,,,,,https://www.linkedin.com/company/akamai-technologies/about/
75,"Akoya Biosciences, Inc.",https://www.akoyabio.com/,"{'US': ['Menlo Park', 'Marlborough']}","{'country': ['United States', 'United Kingdom', 'San Francisco Bay Area', 'Greater Boston Area', 'Greater San Diego Area', 'Greater Seattle Area', 'Germany', 'Netherlands', 'Amsterdam Area, Netherlands', 'Austria', 'Australia', 'Melbourne, Australia', 'Switzerland', 'Zürich Area, Switzerland', 'China'], 'sales_count': ['35', '6', '5', '4', '4', '4', '3', '3', '2', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/akoya-biosciences-inc/about/
76,Al Moammar Information Systems Company,https://www.mis.com.sa/,"{'SA': ['Riyadh', 'Jeddah', 'Al Khobar']}","{'country': ['Saudi Arabia', 'United Arab Emirates', 'China', 'Rest of Guangdong, China', 'France', 'Reims Area, France', 'Jordan', 'Other', 'Pakistan', 'Southern Punjab Multan, Pakistan'], 'sales_count': ['58', '1', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/al-moammar-information-systems/about/
77,Al-Faris National Company for Investment & Export P.L.C.,https://optimiza.me/,{'JO': ['Amman']},"{'country': ['Jordan', 'Saudi Arabia', 'Amman Governorate, Jordan', 'Brazil', 'Curitiba Area, Brazil', 'Chile', 'Santiago Province, Chile', 'Kuwait'], 'sales_count': ['41', '5', '3', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/optimiza/about/
78,Aladdin Healthcare Technologies SE,https://www.aladdinid.com/,"{'GB': ['London'], 'DE': ['Berlin']}",,False,False,,,,,https://www.linkedin.com/company/aladdin-healthcare-technologies/about/
79,"Alarm.com Holdings, Inc.",https://alarm.com/,"{'US': ['Tysons', 'Bloomington']}","{'country': ['United States', 'Washington D.C. Metro Area', 'Greater Minneapolis-St. Paul Area', 'Canada', 'Colombia', 'Greater Salt Lake City Area', 'Australia', 'Dallas/Fort Worth Area', 'Austin, Texas Area', 'San Antonio, Texas Area', 'Sydney, Australia', 'United Kingdom', 'Greensboro/Winston-Salem, North Carolina Area', 'Greater Los Angeles Area', 'Argentina'], 'sales_count': ['92', '33', '14', '5', '5', '5', '3', '3', '3', '3', '2', '2', '2', '2', '1']}",False,False,,,,,https://www.linkedin.com/company/alarm-com/about/
80,Alchera Inc.,https://www.alcherainc.com/en/,"{'KR': ['Seongnam-si'], 'US': ['Sunnyvale']}","{'country': ['Korea', 'Turkey', 'United States', 'San Francisco Bay Area'], 'sales_count': ['7', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/alchera-inc/about/
81,Alcidion Group Limited,https://www.alcidion.com/,{'AU': ['Melbourne']},"{'country': ['Australia', 'Sydney, Australia', 'Brisbane, Australia', 'United Kingdom', 'Melbourne, Australia', 'Wigan, United Kingdom', 'New Zealand', 'Auckland, New Zealand'], 'sales_count': ['6', '3', '2', '2', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/alcidion/about/
82,Alfa Financial Software Holdings PLC,http://www.alfasystems.com/,"{'GB': ['London'], 'US': ['Royal Oak', 'Dallas'], 'AU': ['Sydney'], 'DE': ['Düsseldorf'], 'FR': ['Paris'], 'SE': ['Stockholm'], 'PL': ['Warsaw '], 'NZ': ['Auckland']}","{'country': ['United States', 'United Kingdom', 'London, United Kingdom', 'Greater Los Angeles Area', 'Australia', 'Guildford, United Kingdom', 'Indonesia', 'Dallas/Fort Worth Area'], 'sales_count': ['4', '3', '2', '2', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/alfasystems/about/
83,"Alfi, Inc.",https://www.getalfi.com/,"{'US': ['Miami Beach'], 'GB': ['Belfast']}","{'country': ['United States', 'Tampa/St. Petersburg, Florida Area', 'Greater Los Angeles Area', 'Miami/Fort Lauderdale Area', 'Greater New York City Area'], 'sales_count': ['6', '2', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/getalfi/about/
84,Alithya Group Inc.,https://www.alithya.com/en,"{'CA': ['Montréal', 'Québec', 'Gatineau', 'Toronto', 'Pickering'], 'US': ['Alpharetta', 'Athens', 'Chicago', 'Wakefield', 'White Plains'], 'FR': ['Paris La Défense', 'Aix-en-Provence', 'Sophia-Antipolis', 'Toulouse'], 'GB': ['Delph, Manchester']}","{'country': ['Canada', 'United States', 'Montreal, Canada Area', 'Quebec, Canada', 'Brazil', 'France', 'Toronto, Canada Area', 'Dallas/Fort Worth Area', 'Washington D.C. Metro Area', 'Belgium', 'China', 'Nice Area, France', 'Greater Atlanta Area', 'Greater Boston Area', 'Shanghai City, China'], 'sales_count': ['31', '26', '16', '7', '6', '5', '4', '4', '4', '3', '3', '3', '3', '3', '2']}",False,False,,,,,https://www.linkedin.com/company/alithya/about/
85,"ALJ Regional Holdings, Inc.",http://www.aljregionalholdings.com/alj/,{},,False,False,1.0,1.0,,,https://www.linkedin.com/company/alj-regional-holdings-inc-aljj-/about/
86,"Alkami Technology, Inc.",https://www.alkami.com/,{'US': ['Plano']},"{'country': ['United States', 'Dallas/Fort Worth Area', 'Greater Atlanta Area', 'Greater San Diego Area', 'Greater Los Angeles Area', 'Greater Philadelphia Area', 'Tampa/St. Petersburg, Florida Area', 'India', 'Kolkata Area, India', 'Philippines', 'Brownsville, Texas Area', 'Buffalo/Niagara, New York Area', 'Greensboro/Winston-Salem, North Carolina Area', 'Jacksonville, Florida Area', 'Lafayette, Indiana Area'], 'sales_count': ['58', '27', '4', '3', '2', '2', '2', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/alkamitech/about/
87,All for One Group SE,https://www.all-for-one.com/,{'DE': ['Filderstadt-Bernhausen']},"{'country': ['Germany', 'Stuttgart Area, Germany', 'Cologne Area, Germany', 'Frankfurt Am Main Area, Germany', 'Munich Area, Germany', 'Ulm Area, Germany', 'Austria', 'Austria area', 'Mannheim Area, Germany', 'Bielefeld Area, Germany', 'Dortmund Area, Germany', 'Hamburg Area, Germany', 'Switzerland', 'Essen Area, Germany', 'Zürich Area, Switzerland'], 'sales_count': ['122', '24', '20', '13', '12', '12', '9', '9', '6', '5', '5', '5', '3', '3', '2']}",False,False,,,,,https://www.linkedin.com/company/all-for-one-group-se/about/
88,"AllDigital Holdings, Inc.",http://www.alldigital.com,{'US': ['Tustin']},"{'country': ['United States', 'Orange County, California Area'], 'sales_count': ['1', '1']}",False,False,,,,,https://www.linkedin.com/company/alldigital-inc./about/
89,Allgeier SE,https://www.allgeier.com/en/,{'DE': ['München']},"{'country': ['Germany', 'Hamburg Area, Germany', 'Bremen Area, Germany', 'Dortmund Area, Germany', 'Bielefeld Area, Germany', 'Cologne Area, Germany', 'Frankfurt Am Main Area, Germany', 'Nürnberg Area, Germany', 'Stuttgart Area, Germany', 'Slovak Republic', 'Slovak Republic area'], 'sales_count': ['14', '3', '2', '2', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/allgeier-holding-ag/about/
90,Alliance Data Systems Corporation,https://www.alliancedata.com/home/default.aspx,,,False,False,,,,,https://www.linkedin.com/company/alliancedatacardservices/
91,Allied Digital Services Limited,https://www.allieddigital.net/in/,"{'IN': ['Mumbai'], 'US': ['Torrance']}","{'country': ['India', 'Mumbai Area, India', 'Ahmedabad Area, India', 'United States', 'Chennai Area, India', 'Bengaluru Area, India', 'Cochin Area, India', 'Hyderabad Area, India', 'Kolkata Area, India', 'Aurangabad Area, India', 'Raipur Area, India', 'Dallas/Fort Worth Area', 'Greensboro/Winston-Salem, North Carolina Area', 'Greater Los Angeles Area', 'Greater Philadelphia Area'], 'sales_count': ['55', '38', '5', '5', '2', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/adslin/about/
92,Allot Ltd.,https://www.allot.com/,"{'IL': ['Hod-Hasharon'], 'US': ['Burlington']}","{'country': ['Israel', 'United States', 'India', 'Spain', 'Madrid Area, Spain', 'Colombia', 'Japan', 'Mexico', 'Singapore', 'France', 'Mumbai Area, India', 'Italy', 'Mexico City Area, Mexico', 'China', 'Milan Area, Italy'], 'sales_count': ['33', '21', '17', '14', '12', '7', '6', '6', '6', '5', '5', '5', '5', '4', '4']}",False,False,,,,,https://www.linkedin.com/company/allot-communications/about/
93,"Allscripts Healthcare Solutions, Inc.",https://www.allscripts.com/,"{'US': ['Chicago', 'Raleigh', 'Alpharetta'], 'IN': ['Pune']}","{'country': ['United States', 'Raleigh-Durham, North Carolina Area', 'Greater Atlanta Area', 'Greater Chicago Area', 'India', 'Greater New York City Area', 'Greater Denver Area', 'Greater Boston Area', 'United Kingdom', 'Greater Nashville Area, TN', 'Tampa/St. Petersburg, Florida Area', 'Dallas/Fort Worth Area', 'Austin, Texas Area', 'Greater San Diego Area', 'Greater Los Angeles Area'], 'sales_count': ['399', '79', '31', '26', '25', '16', '13', '13', '12', '9', '9', '8', '8', '8', '7']}",False,False,,,,,https://www.linkedin.com/company/allscripts/about/
94,Allscripts Healthcare Solutions Inc.,https://www.allscripts.com/,"{'US': ['Chicago', 'Raleigh', 'Alpharetta'], 'IN': ['Pune']}","{'country': ['United States', 'Raleigh-Durham, North Carolina Area', 'Greater Atlanta Area', 'Greater Chicago Area', 'India', 'Greater New York City Area', 'Greater Denver Area', 'Greater Boston Area', 'United Kingdom', 'Greater Nashville Area, TN', 'Tampa/St. Petersburg, Florida Area', 'Dallas/Fort Worth Area', 'Austin, Texas Area', 'Greater San Diego Area', 'Greater Los Angeles Area'], 'sales_count': ['399', '79', '31', '26', '25', '16', '13', '13', '12', '9', '9', '8', '8', '8', '7']}",False,False,,,,,https://www.linkedin.com/company/allscripts/about/
95,Allterco AD,https://allterco.com/en/home/,,,False,False,,,,,https://www.linkedin.com/company/allterco-jsco/
96,Almawave S.p.A.,https://www.almawave.com/it/,"{'IT': ['Roma', 'Milano'], 'BR': ['São Paulo', 'Belo Horizonte'], 'US': ['San Francisco']}","{'country': ['Italy', 'Rome Area, Italy', 'United Kingdom', 'Cambridge, United Kingdom', 'Milan Area, Italy', 'Monza and Brianza Area, Italy', 'Salerno Area, Italy', 'Trento Area, Italy'], 'sales_count': ['25', '15', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/almawave/about/
97,"Alpha Teknova, Inc.",https://www.teknova.com/,{'US': ['Hollister']},"{'country': ['United States', 'China', 'Sweden', 'Motala, Sweden', 'Greater Minneapolis-St. Paul Area', 'Salinas, California Area', 'Mexico', 'Culiacán Area, Mexico', 'Iowa City, Iowa Area', 'Greater San Diego Area', 'San Francisco Bay Area'], 'sales_count': ['7', '2', '2', '2', '2', '2', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/teknovascience/about/
98,AlphaHelix Molecular Diagnostics AB,http://www.alphahelix.com/sv/home.htm,{'SE': ['Nacka']},"{'country': ['Finland', 'France', 'Paris Area, France', 'United Kingdom', 'London, United Kingdom', 'Netherlands', 'Rotterdam Area, Netherlands', 'United States', 'Houston, Texas Area'], 'sales_count': ['1', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/alphahelix-molecular-diagnostics-ab/about/
99,Alphalogic Techsys Limited,https://www.alphalogicinc.com/,"{'IN': ['Pune'], 'US': ['Arlington']}","{'country': ['Philippines', 'NCR - National Capital Region, Philippines'], 'sales_count': ['1', '1']}",False,False,,,,,https://www.linkedin.com/company/alphalogic-inc/about/
100,01 Communique Laboratory Inc.,https://www.01com.com/,"{'CA': [nan, 'Toronto']}","{'country': ['Canada', 'Toronto, Canada Area', 'China', 'Wuhan, Hubei, China', 'Changchun, Jilin, China', 'Indonesia', 'East Java Province, Indonesia'], 'sales_count': ['3', '3', '2', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/01-communique/about/
101,"10x Genomics, Inc.",https://www.10xgenomics.com/,{'US': ['Pleasanton']},"{'country': ['United States', 'San Francisco Bay Area', 'Greater San Diego Area', 'United Kingdom', 'Germany', 'France', 'Greater Boston Area', 'Greater New York City Area', 'Canada', 'China', 'Greater Seattle Area', 'Washington D.C. Metro Area', 'India', 'Netherlands', 'Singapore'], 'sales_count': ['108', '25', '13', '10', '9', '8', '8', '8', '6', '6', '5', '5', '4', '4', '4']}",False,False,,,,,https://www.linkedin.com/company/10xgenomics/about/
102,"1mage Software, Inc.",https://1mage.com/,"{'US': ['Centennial', 'Centennial']}","{'country': ['United States', 'Greater Denver Area', 'Grand Junction, Colorado Area'], 'sales_count': ['3', '2', '1']}",False,False,,,,,https://www.linkedin.com/company/1mage-software/about/
103,1Spatial Plc,https://1spatial.com/,"{'AU': ['Cambridge', 'Cronulla'], 'US': ['Vienna'], 'FR': ['Arcueil '], 'BE': ['Liège'], 'GB': ['Leinster']}","{'country': ['United Kingdom', 'Australia', 'United States', 'Melbourne, Australia', 'France', 'Cambridge, United Kingdom', 'Sydney, Australia', 'Paris Area, France', 'Saint-Nazaire Area, France', 'Toulouse Area, France', 'London, United Kingdom', 'Kingston upon Thames, United Kingdom', 'Shrewsbury, United Kingdom', 'Greater Denver Area', 'Houston, Texas Area'], 'sales_count': ['7', '4', '4', '3', '3', '3', '1', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/1spatial/about/
104,23andMe Holding Co.,https://www.23andme.com/,"{'US': ['Sunnyvale', 'South San Francisco']}","{'country': ['United States', 'San Francisco Bay Area', 'Indonesia', 'Bandung Area, West Java, Indonesia', 'India', 'Philippines', 'Turkey', 'Istanbul, Turkey', 'Madison, Wisconsin Area', 'Greater New York City Area', 'Portland, Oregon Area', 'Washington D.C. Metro Area'], 'sales_count': ['32', '28', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/23andme/about/
105,24SevenOffice Group AB,https://24sevenoffice.com/se/,"{'NO': ['Oslo', 'Skien']}","{'country': ['Norway', 'Oslo Area, Norway', 'Sweden', 'Stockholm County, Sweden', 'Stockholm, Sweden', 'Stavanger Area, Norway'], 'sales_count': ['15', '13', '4', '2', '2', '1']}",False,False,,,,,https://www.linkedin.com/company/24sevenoffice/about/
106,3i Infotech Limited,https://www.3i-infotech.com/,{'IN': ['Navi Mumbai']},"{'country': ['India', 'Mumbai Area, India', 'United Arab Emirates', 'Chennai Area, India', 'New Delhi Area, India', 'United States', 'Bengaluru Area, India', 'Hyderabad Area, India', 'United Kingdom', 'Kolkata Area, India', 'Noida Area, India', 'Greater New York City Area', 'Malaysia', 'Saudi Arabia', 'Singapore'], 'sales_count': ['171', '51', '20', '19', '17', '17', '14', '9', '6', '6', '6', '6', '4', '4', '3']}",False,False,,,,,https://www.linkedin.com/company/3i-infotech/about/
107,4DMedical Limited,https://4dmedical.com/,"{'AU': ['Carlton'], 'US': ['Woodland Hills']}","{'country': ['United States', 'Australia', 'Melbourne, Australia', 'Sydney, Australia', 'Greater Los Angeles Area', 'Cleveland/Akron, Ohio Area', 'Greater Grand Rapids, Michigan Area', 'Kansas City, Missouri Area', 'Raleigh-Durham, North Carolina Area', 'Greater New York City Area'], 'sales_count': ['9', '4', '2', '2', '2', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/4dmedical/about/
108,4iG Nyrt.,https://www.4ig.hu/,{'HU': ['Budapest']},"{'country': ['Hungary', 'Hungary area', 'Other'], 'sales_count': ['44', '39', '1']}",False,False,,,,,https://www.linkedin.com/company/4ig/about/
109,4Sight Holdings Limited,https://4sight.cloud/about,"{'MU': ['Ebene'], 'ZA': ['Centurion', 'Johannesburg']}","{'country': ['South Africa', 'Johannesburg Area, South Africa', 'China', 'Cape Town Area, South Africa'], 'sales_count': ['10', '8', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/4sightholdings/about/
110,63 moons technologies limited,https://www.63moons.com/,{'IN': ['Mumbai']},"{'country': ['India', 'Mumbai Area, India', 'Chennai Area, India', 'Ahmedabad Area, India', 'Kolkata Area, India', 'Noida Area, India'], 'sales_count': ['21', '13', '2', '2', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/63-moons-%E2%84%A2/about/
111,"6D Global Technologies, Inc.",http://www.6dglobal.com/,"{'US': ['Pleasanton', 'Cincinnati', 'NY']}","{'country': ['United States', 'Lakeland, Florida Area'], 'sales_count': ['1', '1']}",False,False,,,,,https://www.linkedin.com/company/six-dimensions/about/
